Weight in kg	Height	HeightClass	Player	Team	WeightClass	Year
86,1825503	190,5	189	Stephen Curry	Golden State Warriors	85	2016
99,7903214	195,58	195	James Harden	Houston Rockets	95	2016
108,8621688	205,74	204	Kevin Durant	Golden State Warriors	105	2016
104,3262451	200,66	198	Kawhi Leonard	San Antonio Spurs	100	2016
114,75886961	210,82	210	Anthony Davis	New Orleans Pelicans	110	2016
90,718474	190,5	189	Russell Westbrook	Oklahoma City Thunder	90	2016
122,4699399	210,82	210	DeMarcus Cousins	Sacramento Kings	120	2016
97,52235955	200,66	198	Klay Thompson	Golden State Warriors	95	2016
104,3262451	200,66	198	Draymond Green	Golden State Warriors	100	2016
115,66605435	215,9	213	Marc Gasol	Memphis Grizzlies	115	2016
120,20197805	210,82	210	DeAndre Jordan	Los Angeles Clippers	120	2016
102,51187562	203,2	201	Gordon Hayward	Utah Jazz	100	2016
87,54332741	190,5	189	Kyrie Irving	Cleveland Cavaliers	85	2016
99,7903214	200,66	198	DeMar DeRozan	Toronto Raptors	95	2016
113,3980925	203,2	201	LeBron James	Cleveland Cavaliers	110	2016
100,69750614	210,82	210	Giannis Antetokounmpo	Milwaukee Bucks	100	2016
104,77983747	200,66	198	Jimmy Butler	Chicago Bulls	100	2016
83,91458845	175,26	174	Isaiah Thomas	Boston Celtics	80	2016
95,2543977	193,04	192	John Wall	Washington Wizards	95	2016
113,85168487	208,28	207	Kevin Love	Cleveland Cavaliers	110	2016
92,98643585	182,88	180	Kyle Lowry	Toronto Raptors	90	2016
99,7903214	205,74	204	Paul George	Indiana Pacers	95	2016
83,46099608	185,42	183	Kemba Walker	Charlotte Hornets	80	2016
111,58372302	203,2	201	Paul Millsap	Atlanta Hawks	110	2016
113,3980925	203,2	201	LeBron James	Cleveland Cavaliers	110	2015
99,7903214	193,04	192	Dwyane Wade	Miami Heat	95	2015
99,7903214	205,74	204	Paul George	Indiana Pacers	95	2015
108,8621688	203,2	201	Carmelo Anthony	New York Knicks	105	2015
92,98643585	182,88	180	Kyle Lowry	Toronto Raptors	90	2015
104,77983747	200,66	198	Jimmy Butler	Chicago Bulls	100	2015
99,7903214	200,66	198	DeMar DeRozan	Toronto Raptors	95	2015
