Weight in kg	Height	HeightClass	Player	Team	WeightClass	Year
86,1825503	190,5	189	Stephen Curry	Golden State Warriors	85	2016
99,7903214	195,58	195	James Harden	Houston Rockets	95	2016
108,8621688	205,74	204	Kevin Durant	Golden State Warriors	105	2016
104,3262451	200,66	198	Kawhi Leonard	San Antonio Spurs	100	2016
114,75886961	210,82	210	Anthony Davis	New Orleans Pelicans	110	2016
90,718474	190,5	189	Russell Westbrook	Oklahoma City Thunder	90	2016
122,4699399	210,82	210	DeMarcus Cousins	Sacramento Kings	120	2016
97,52235955	200,66	198	Klay Thompson	Golden State Warriors	95	2016
104,3262451	200,66	198	Draymond Green	Golden State Warriors	100	2016
115,66605435	215,9	213	Marc Gasol	Memphis Grizzlies	115	2016
120,20197805	210,82	210	DeAndre Jordan	Los Angeles Clippers	120	2016
102,51187562	203,2	201	Gordon Hayward	Utah Jazz	100	2016
87,54332741	190,5	189	Kyrie Irving	Cleveland Cavaliers	85	2016
99,7903214	200,66	198	DeMar DeRozan	Toronto Raptors	95	2016
